GP ACCOUNT,NS ACCOUNT
2-96-96-129-171,129101
2-96-96-141-100,141100
2-96-96-141-105,141105
2-96-96-143-100,143111
2-96-96-143-105,143112
2-96-96-147-100,147103
2-96-96-162-100,*** NO MAPPED
2-96-96-163-100,*** NO MAPPED
2-96-96-209-171,209100
2-96-96-209-180,209101
2-96-96-209-195,209100
2-96-96-211-171,211100
2-96-96-212-100,212100
2-96-96-213-100,213100
2-96-96-231-100,231100
2-96-96-243-100,243200
2-96-96-340-196,340196
2-96-96-410-100,410000
2-96-96-415-100,415000
2-96-96-422-100,422000
2-96-96-620-100,620100
2-96-96-621-100,621102
2-96-96-622-100,622100
2-96-96-890-100,890000
2-96-96-901-100,901100
2-96-96-910-100,900200
2-96-96-911-100,900200
2-96-96-960-100,900900
3-10-11-101-100,101100
3-10-11-102-100,101100
3-10-11-111-100,116000
3-10-11-115-100,115000
3-10-11-121-100,121000
3-10-11-122-100,122000
3-10-11-128-100,128000
3-10-11-128-101,128101
3-10-11-128-116,128000
3-10-11-128-199,128000
3-10-11-128-331,128000
3-10-11-128-332,128000
3-10-11-128-334,128000
3-10-11-128-347,128000
3-10-11-128-354,128000
3-10-11-129-100,129101
3-10-11-129-111,129101
3-10-11-129-121,129101
3-10-11-129-122,129101
3-10-11-129-123,129101
3-10-11-129-124,129101
3-10-11-129-131,129101
3-10-11-129-134,129101
3-10-11-129-141,129101
3-10-11-129-151,129101
3-10-11-129-161,129101
3-10-11-129-165,129101
3-10-11-129-171,129101
3-10-11-129-181,129101
3-10-11-129-185,129101
3-10-11-129-199,129101
3-10-11-131-100,131100
3-10-11-131-112,131105
3-10-11-131-114,131105
3-10-11-131-116,131105
3-10-11-132-100,131101
3-10-11-161-100,161101
3-10-11-161-101,161100
3-10-11-176-100,176100
3-10-11-201-100,201100
3-10-11-201-101,201101
3-10-11-209-100,209100
3-10-11-209-121,209102
3-10-11-209-122,209102
3-10-11-209-123,209100
3-10-11-209-124,209100
3-10-11-209-131,209102
3-10-11-209-132,209100
3-10-11-209-147,209100
3-10-11-209-171,209100
3-10-11-209-181,209100
3-10-11-209-185,209100
3-10-11-211-100,211100
3-10-11-214-100,214100
3-10-11-221-100,221100
3-10-11-222-100,222100
3-10-11-223-100,223100
3-10-11-224-100,224100
3-10-11-225-100,225100
3-10-11-226-100,226100
3-10-11-242-100,243100
3-10-11-243-100,243200
3-10-11-245-100,245100
3-10-11-250-100,201100
3-10-11-299-101,214100
3-10-11-340-100,340100
3-10-11-410-100,410000
3-10-11-410-101,410101
3-10-11-421-100,421100
3-10-11-425-101,425101
3-10-11-460-100,460100
3-10-11-460-121,460100
3-10-11-460-122,460100
3-10-11-460-199,460100
3-10-11-490-100,490100
3-10-11-611-100,611100
3-10-11-620-100,620100
3-10-11-638-101,638101
3-10-11-710-111,710100
3-10-11-710-113,710100
3-10-11-710-115,710100
3-10-11-710-117,710100
3-10-11-710-118,710100
3-10-11-710-119,710100
3-10-11-710-120,710100
3-10-11-710-122,710100
3-10-11-710-124,710100
3-10-11-710-130,710100
3-10-11-710-170,710100
3-10-11-720-111,720100
3-10-11-720-113,720100
3-10-11-720-115,720100
3-10-11-720-117,720100
3-10-11-720-118,720100
3-10-11-720-119,720100
3-10-11-720-120,720100
3-10-11-720-122,720100
3-10-11-720-124,720100
3-10-11-720-130,720100
3-10-11-720-170,720100
3-10-11-730-111,730100
3-10-11-730-113,730100
3-10-11-730-115,730100
3-10-11-730-117,730100
3-10-11-730-118,730100
3-10-11-730-119,730100
3-10-11-730-120,730100
3-10-11-730-122,730100
3-10-11-730-124,730100
3-10-11-730-130,730100
3-10-11-730-170,730100
3-10-11-740-111,750100
3-10-11-740-113,750100
3-10-11-740-115,750100
3-10-11-740-117,740100
3-10-11-740-118,750100
3-10-11-740-119,750100
3-10-11-740-120,750100
3-10-11-740-122,750100
3-10-11-740-124,750100
3-10-11-740-130,750100
